Instance,Metric,CoveragePercent
/top_tb/cpu_if,Toggle,90.1
/top_tb/ai_if,Toggle,52.74
/top_tb/dma_if,Toggle,54.12
/top_tb/dbg_if,Toggle,56.59
/top_tb/fabric_skid_if,Toggle,93.68
/top_tb/skid_ddr_if,Toggle,93.13
/top_tb/mem_if,Toggle,81.88
/top_tb/u_fabric/u_arbiter,Toggle,20.88
/top_tb/u_fabric,Toggle,96.15
/top_tb/u_skid_buffer,Toggle,98.66
/top_tb/u_ddr64_ctrl/u_crc8_wr,Toggle,71.42
/top_tb/u_ddr64_ctrl,Toggle,85.97
/top_tb/u_memory_model/u_crc8_check,Toggle,71.42
/top_tb/u_memory_model,Toggle,63.08
/top_tb/u_benoc_assertions,Toggle,75.0
/top_tb/u_benoc_scoreboard,Toggle,75.0
/top_tb/u_benoc_perf_monitor,Toggle,18.87
/top_tb/u_benoc_coverage,Toggle,75.0
/top_tb,Toggle,83.33
/traffic_pkg,Statement,89.95
